ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
cb77ecbb462c49fabdf6a2f6b3cc85d0	2020-02-06	Der Stuhl ist nicht schön	Stolica nije lepa
da04cf9d67d440a8acf49aa3922a4450	2020-02-06	Das ist doch kein Stuhl. Das ist ein Sofa.	To bre nije stolica. To je sofa.
115451ef1d374745bbcbec211b806310	2020-02-06	Das ist ein Apfel	To je jabuka
c13f3405a4744ff3b16ccf8d3bf98320	2020-02-06	Das ist kein Apfel	To nije jabuka
f0e97df929f34f5f987f1a0e78b505d0	2020-02-06	Das ist ein Ei	To je jaje
1d32941b92b24bd1ae7e4d0ff1e31500	2020-02-06	Das ist kein Ei	To nije jaje
c0be68d076e143c692b0913991ddfbf0	2020-02-06	Das sind Tomaten	To su rajčice
492624713187431a817be45d11fa0800	2020-02-06	Das sind kine Tomaten	To nisu rajčice
0fde47efc9a54c94a7b2336ac758a9d0	2020-02-08	Hast du das Buch nicht dabei? Doch.	Nemaš li knjigu sa sobom? Naprotiv.
ede0db91afa646768e72f8d974ccc0a0	2020-02-08	Möchten Sie kein Eis? Doch.	Ne želiTe li sladoled? Naprotiv.
