ИД	ДАТУМ	LINKS	RECHTS	ЛЕВО	ДЕСНО
9ffd96f4a4e84af1b4820a0b0a4301d0	2020-02-06	neu	alt	novo	staro
639b6cd1833746a59cdaff448c3c33a0	2020-02-06	bilig	teuer	jeftino	skupo
b593c06413f04b20b924ba221426e440	2020-02-06	groß	klein	veliko	malo
831929c7065e4485a20aa9678639f330	2020-02-06	breit	schmal	široko	usko
8815deee002249eb9deda9dc505d3890	2020-02-06	schön	hässlich	lepo	ružno
79eca18433d3429cbf7fc57259e0af30	2020-02-06	hell	dunkel	svetlo	tamno
f10e545af3cb47e882b2470b5bfb1980	2020-04-12	hin	her	tamo	vamo
00e0eb45f53b49d1baf7b46ef906fc80	2020-04-12	wohin	woher	kuda	odakle
75f75e132b3e44fca56fc3f5c0d01140	2020-04-12	reingehen	rausgehen	ići unutra	ići napolje
03e86ed6875542758bab71728f11de10	2020-04-12	nach links	von links	na levo	sa leva
947fc488f7b84c49a3b32b3308d0e650	2020-04-12	nach draußen	von draußen	ići napolje	ići spolja
e2d6e37270774a01a4c6cadc072afe90	2020-04-12	aufwärts	abwärts	u smeru gore	u smeru dole
3cd48e0b1aee4b4c98a1e457038fa370	2020-04-12	hinauf	hinunter	nagore	nadole
05154d0c5eb5407a92df1c99e6d740e0	2020-04-12	hinein	hinaus	na unutra	na spolje
4936741f00f44b8a89a287471692e900	2020-04-12	vorwärts	rückwärts	napred	nazad
d9ad32de128f453f95093898babe3ff0	2020-04-12	bergauf	bergab	uzbrdo	nizbrdo
1077f9c7156243aeb08421e4d0378220	2020-04-12	flussabwärts	flussaufwärts	nizvodno	uzvodno
05044e3ee0764f9ba2bb481996b88b20	2020-04-12	nirgendwoher	nirgendwohin	niodakle	nikuda
4177caaafec34368a06f614dbaf9e720	2020-04-12	irgendwoher	irgendwohin	od bilo gde	bilo kuda
87401ffd8eba40faa03a80197b52fcd0	2020-04-12	überall	nirgendwo	svugde	nigde
19dc19ae21634d79b29655599e8104f0	2020-04-12	links	rechts	levo	desno
5157b6226e62468ca57863987bb8b6d0	2020-04-12	vorn	hinten	ispred	iza
284a4586ebed4b9d8729ea66b0733e00	2020-04-12	drinnen	draußen	unutra	van
